original_brand,original_model,mapped_brand,mapped_model,timestamp
Canon,Canon EOS R5m2,CANON,EOS R5 II,2026/4/29 22:04
FUJIFILM,GFX100 II,FUJIFILM,GFX 100 II,2026/4/7 17:05
FUJIFILM,GFX100S,FUJIFILM,GFX100S,2026/4/8 14:13
FUJIFILM,GFX 100,FUJIFILM,GFX 100,2026/4/29 21:44
FUJIFILM,X-HF1,FUJIFILM,X Half,2026/4/29 22:05
NIKON CORPORATION,NIKON Z 9,NIKON,Z 9,2026/4/29 21:43
SONY,ILCE-7M3,SONY,a7 III,2026/4/7 19:50
SONY,MODEL-NAME,SONY,MODEL-NAME,2026/4/29 21:43
SONY,ILCE-7M5,SONY,a7 V,2026/4/29 22:03
Xiaomi,Xiaomi 15 Pro,XIAOMI,15 Pro,2026/4/7 17:04
