original_lens,mapped_lens,short_lens,brand,mount,timestamp
100-400mm F5-6.3 DG OS HSM | Contemporary 017,SIGMA 100-400mm F5-6.3 DG OS HSM Contemporary,100-400mm F5-6.3,SIGMA,EF,2026/06/04 12:00
14-24mm F2.8 DG DN | Art 019,SIGMA 14-24mm F2.8 DG DN Art,14-24mm F2.8,SIGMA,"FE, L",2026/06/04 12:00
16-28mm F2.8 DG DN | Contemporary 022,SIGMA 16-28mm F2.8 DG DN,16-28mm F2.8,SIGMA,"FE, L",2026/06/04 12:00
E 16-55mm F2.8 G,E 16-55mm F2.8 G,E 16-55mm F2.8 G,Sony,FE,2026/09/12 21:11
E 28-200mm F2.8-5.6 A071,TAMRON 28-200mm F2.8-5.6 Di III RXD,28-200mm F2.8-5.6,TAMRON,FE,2026/06/04 12:00
E 28-75mm F2.8 A063,TAMRON 28-75mm F2.8 Di III RXD,28-75mm F2.8,TAMRON,FE,2026/09/12 21:11
E 28-75mm F2.8-2.8,TAMRON 28-75mm F2.8 Di III RXD,28-75mm F2.8,TAMRON,FE,2026/06/04 12:00
EF24-105mm f/4L IS USM,EF 24-105mm f/4L IS USM,EF 24-105mm f/4 L,Canon,EF,2026/06/04 12:00
EF35mm f/2 IS USM,EF 35mm f/2 IS USM,EF 35mm f/2,Canon,EF,2026/09/12 21:11
EF40mm f/2.8 STM,EF 40mm f/2.8 STM,EF 40mm f/2.8,Canon,EF,2026/09/12 21:11
EF70-200mm f/4L USM,EF 70-200mm f/4L USM,EF 70-200mm f/4 L,Canon,EF,2026/09/12 21:11
FE 100-400mm F4.5 GM OSS,FE 100-400mm F4.5 GM OSS,FE 100-400mm F4.5 GM,Sony,FE,2026/09/12 21:11
FE 14mm F1.8 GM,FE 14mm F1.8 GM,FE 14mm F1.8 GM,Sony,FE,2026/09/12 21:11
FE 16-35mm F2.8 GM,FE 16-35mm F2.8 GM,FE 16-35mm F2.8 GM,Sony,FE,2026/09/12 21:11
FE 16-35mm F4 ZA OSS,FE 16-35mm F4 ZA OSS,FE 16-35mm F4 ZA,Sony,FE,2026-06-08 23:47:38
FE 24-70mm F2.8 GM II,FE 24-70mm F2.8 GM II,FE 24-70mm F2.8 GM II,Sony,FE,2026/09/12 21:11
FE 24mm F2.8 G,FE 24mm F2.8 G,FE 24mm F2.8 G,Sony,FE,2026/09/12 21:11
FE 28-60mm F4-5.6,FE 28-60mm F4-5.6,FE 28-60mm F4-5.6,Sony,FE,2026/09/12 21:11
FE 28-70mm F3.5-5.6 OSS,FE 28-70mm F3.5-5.6 OSS,FE 28-70mm F3.5-5.6,Sony,FE,2026/09/12 21:11
FE 35mm F1.4 GM,FE 35mm F1.4 GM,FE 35mm F1.4 GM,Sony,FE,2026/09/12 21:11
FE 35mm F1.8,FE 35mm F1.8,FE 35mm F1.8,Sony,FE,2026/06/04 12:00
FE 400mm F2.8 GM OSS,FE 400mm F2.8 GM OSS,FE 400mm F2.8 GM,Sony,FE,2026/09/12 21:11
FE 55mm F1.8 ZA,FE 55mm F1.8 ZA,FE 55mm F1.8 ZA,Sony,FE,2026/09/12 21:11
FE 70-200mm F2.8 GM OSS,FE 70-200mm F2.8 GM OSS,FE 70-200mm F2.8 GM,Sony,FE,2026/09/12 21:11
FE 70-200mm F2.8 GM OSS II,FE 70-200mm F2.8 GM OSS II,FE 70-200mm F2.8 GM II,Sony,FE,2026/09/12 21:11
FE 85mm F1.4 GM,FE 85mm F1.4 GM,FE 85mm F1.4 GM,Sony,FE,2026/06/04 12:00
FE 85mm F1.4 GM II,FE 85mm F1.4 GM II,FE 85mm F1.4 GM II,Sony,FE,2026/09/12 21:11
GF100-200mmF5.6 R LM OIS WR,GF 100-200mm F5.6 R LM OIS WR,GF 100-200mm F5.6,Fujifilm,GF,2026/06/04 12:00
GF110mmF2 R LM WR,GF 110mm F2 R LM WR,GF 110mm F2,Fujifilm,G,2026/09/12 21:11
GF120mmF4 R LM OIS WR Macro,GF 120mm F4 R LM OIS WR Macro,GF 120mm F4,Fujifilm,GF,2026/06/04 12:00
GF20-35mmF4 R WR,GF 20-35mm F4 R WR,GF 20-35mm F4,Fujifilm,GF,2026/06/04 12:00
GF30mmF5.6 T/S,GF 30mm F5.6 T/S,GF 30mm F5.6,Fujifilm,G,2026/09/12 21:11
GF32-64mmF4 R LM WR,GF 32-64mm F4 R LM WR,GF 32-64mm F4,Fujifilm,GF,2026/06/04 12:00
GF45mmF2.8 R WR,GF 45mm F2.8 WR,GF 45mm F2.8,Fujifilm,GF,2026/06/04 12:00
GF55mmF1.7 R WR,GF 55mm F1.7 WR,GF 55mm F1.7,Fujifilm,GF,2026/06/04 12:00
